"lemma","poscode","surface"
"posição de direção","3","posição de direção"
"toque","3","toque"
"confortável","3","confortável"
"suspensão","3","suspensão"
"conforto","3","conforto"
"Direção","3","Direção","direção"
"câmbio manual","3","câmbio manual","câmbio automático","câmbio automatizado","cambio","câmbio","câmbio de marchas"
"grita","3","grita"
"isolamento acústico","3","isolamento acústico"
"espaço","3","espaço"
"barulho","3","barulho","barulhento"
"espaço interno","3","espaço interno","Espaço interno"
"banco","3","banco","banco de trás","bancos dianteiros","bancos de couro"
"espuma","4","espuma"
"manta acústica","4","manta acústica"
"ruído do motor","4","ruído do motor"
"som do motor","4","som do motor"
"posição dos bancos","4","posição dos bancos"
"marcha","4","marcha","engates da marcha"
"iluminação interna","4","iluminação interna"
"rúidos","4","rúidos"
"isolamento acústico","4","isolamento acústico"
"ruído do motor","4","ruído do motor"
"iluminação","4","iluminação"
"porta-luvas","4","porta-luvas"
"saídas laterais","4","saídas laterais"
"ventilação","4","ventilação"
"versão manual","4","versão manual"
"barulho do motor","4","barulho do motor"
"dirigibilidade","4","dirigibilidade"
"ronco","4","ronco"
"altura do volante","4","altura do volante"
"regulagem lombar","4","regulagem lombar"
"troca de marchas","4","troca de marchas"
"engate de ré","4","engate de ré"
"regulado","4","regulado"
"altura do banco","4","altura do banco"
"volante","4","volante"
"barulho do motor","4","barulho do motor"
"one-touch","4","one-touch"
"dirigir","4","dirigir"
"silêncio interno","4","silêncio interno","silêncio"
"couro","4","couro"
"tecido","4","tecido"
"bancos","4","bancos"
"espaçoso","4","espaçoso"
"manual","4","manual"
"rangidos de plástico","4","rangidos de plástico"
"trancos","4","trancos"
"volante elétrico","4","volante elétrico"
"manobrar","4","manobrar"
"esterça","4","esterça"
"hidráulica","4","hidráulica"
"direção mecânica","4","direção mecânica"
"trepidação","4","trepidação"
"veludo","4","veludo"
"espaço para carga","4","espaço para carga"
"9,5 m3","4","9,5 m3","11,5 m3","15 m3"
"confort","4","confort"
"dirigir","4","dirigir"
"porta malas","4","porta malas","porta-malas"
"ergonomia","4","ergonomia"
