"lemma","poscode","surface"
"motor","3","motor","Motor etorque","motor 1.3","motor 2.0","motor 1.8","motor 1.6"
"11,8 segundos","3","11,8 segundos","11,2 s","8,3 s"
"180 km/h","3","180 km/h","184 km/h","110km/h","80 Km/h","90km/h","160 km/h","80 Km/h","100 Km/h","120km por hora","184 km/h"
"quatro cilindros","3","quatro cilindros","5 cilindros"
"109/101 cv","3","109/101 cv","142CV","132cv"
"14,2/13,7 mkgf","3","14,2/13,7 mkgf","13,7/14,2 kgfm","18,8/19,3 kgfm","32,6 kgfm","32,7 kgfm","14,2/13,7 mkgf"
"3.500 rpm","3","3.500 rpm","3.600 rpm","1.800 rpm","3.600 e 1.800 rpm"
"0 a 100 km/h","3","0 a 100 km/h","80 a 20 km/h"
"10 ,8 segundos","3","10 ,8 segundos"
"velocidade","3","velocidade"
"potente","3","potente"
"potência","3","potência"
"arrancadas","3","arrancadas","arrancada"
"torque","4","torque"
"desempenho","4","desempenho"
"rotação","4","rotação"
"elasticidade","4","elasticidade"
"curva","4","curva","curvas"
"20V","4","20V","16v","139 cv","101/109 cv","135/139 cv","130 cavalos","115 cv","130 o u 150 cv","180 cv","130 cv","109/101 cv"
"tocada","4","tocada"
"branda","4","branda"
"andar rápido","4","andar rápido"
"jogo do carro","4","jogo do carro"
"relação de marchas","4","relação de marchas"
"potência","4","potência"
"personalidade","4","personalidade"
"condução","4","condução"
"motor turbo","4","motor turbo"
"respostas","4","respostas"
"responde","4","responde"
"retomadas","4","retomadas"
"ultrapassagens","4","ultrapassagens"
"comando de válvulas","4","comando de válvulas"
"cabeçote multiválvulas","4","cabeçote multiválvulas"
"resposta do câmbio","4","resposta do câmbio"
"embreagem","4","embreagem"
"entre-eixos","4","entre-eixos"
"propulsor","4","propulsor"
"2.3 Multijet II","4","2.3 Multijet II","2.0 Multijet","3.0 Multijet"
"186 cavalos","4","186 cavalos"
"quatro cilindros","4","quatro cilindros"
