"lemma","poscode","surface"
"design","3","design"
"acabamento","3","acabamento"
"plásticos","3","plásticos","plástico","plastico","plasticos"
"caçamba","3","caçamba"
"linhas","3","linhas"
"estilo","3","estilo"
"painel de instrumentos","3","painel de instrumentos","painel","instrumentos"
"moderno","3","moderno"
"aparência","3","aparência"
"cockpit","3","cockpit"
"lanternas traseiras","3","lanternas traseiras"
"frente","3","frente"
"faróis","3","faróis"
"caixas de roda","3","caixas de roda"
"teto","3","teto"
"caimento","3","caimento"
"puxador de porta","3","puxador de porta"
"capô","4","capô"
"cabine","4","cabine"
"desenho","4","desenho"
"carroceria","4","carroceria"
"características clássicas","4","características clássicas"
"faróis redondos","4","faróis redondos"
"grade vertical","4","grade vertical"
"acabado","4","acabado"
"puro sangue","4","puro sangue"
"visual","4","visual"
"interior","4","interior"
"diferente","4","diferente"
"rodas","4","rodas"
"aro 17","4","aro 17"
"pescoço de ganso","4","pescoço de ganso"
"pantográficas","4","pantográficas"
"rebarbas","4","rebarbas"
"compartimento de carga","4","compartimento de carga"
"cabine","4","cabine"
"faróis duplos","4","faróis duplos"
"grade simples","4","grade simples"
"chassi","4","chassi"
"portas","4","portas"
"vão-livre","4","vão-livre"
