"lemma","poscode","surface"
"peças","4","peças"
"Manutenção","4","Manutenção","manutenção"
"mão de obra","4","mão de obra"
"defeitos","4","defeitos"
"Mecânica","4","Mecânica","mecânica"
"manutenções","4","manutenções"
"peças originais","4","peças originais"
"peças exclusivas","4","peças exclusivas"
"correia dentada","4","correia dentada"
"conjuntos mecânicos","4","conjuntos mecânicos"
"peças de reposição","4","peças de reposição"
"mecânico","4","mecânico"
"fechadura da porta","4","fechadura da porta"
