"lemma","poscode","surface"
"freios","3","freios","freio"
"ABS","3","ABS"
"EDB","3","EDB"
"ASR","3","ASR"
"pneus","3","pneus","pneu"
"estabilidade","3","estabilidade"
"segurança","3","segurança"
"seguro","4","seguro"
"rolagem da carroceria","4","rolagem da carroceria"
"comportamento dinâmico","4","comportamento dinâmico"
"absorção de impactos","4","absorção de impactos"
"progressão","4","progressão"
"estável","4","estável"
"controle","4","controle"
"itens de segurança","4","itens de segurança"
"airbags","4","airbags"
"controle de tração","4","controle de tração","tração"
"frenagem","4","frenagem","controle de frenagem"
"visibilidade","4","visibilidade"
"sensor","3","sensor"
"assistente","3","assistente"
"controles de estabilidade","4","controles de estabilidade"
"sistema Traction+","4","sistema Traction+"
"controle de estabilidade","4","controle de estabilidade"
"frenagens","4","frenagens"
"desequilíbrio","4","desequilíbrio"
"4x4","4","4x4"
"airbags laterais","4","airbags laterais"
